normalized_words,moliere_frequency,moliere_count,corneille_frequency,corneille_count,alpha,unnormalized_word
y,0.0028854281812861694,355,0.0018985896191400673,266,1.5197745485372838,y
toute,0.0024871578126015995,306,0.0016416376406098328,230,1.5150467746814542,toute
avoir,0.001560569607906886,192,0.001034945469080112,145,1.5078761679047334,avoir
soit,0.0024140061122309643,297,0.0016130874207731399,226,1.4965128864956063,soit
on,0.006729956434098446,828,0.004560897618911665,639,1.4755771772189807,on
donner,0.0019100721763443656,235,0.001306172557528693,183,1.4623429081669455,donner
ai,0.0015849535080304311,195,0.0010920459087534974,153,1.4513616097326505,ai
ciel,0.002625333246635022,323,0.001841489179466682,258,1.4256577100253995,Ciel
rien,0.005453865660966253,671,0.003982755667218637,558,1.3693698827312113,rien
toujours,0.0020888874439170296,257,0.0015274367612630618,214,1.3675770394511753,toujours
vient,0.0017312569087717016,213,0.0012776223376920002,179,1.355061552774025,vient
belle,0.0014792899408284023,182,0.001113458573631017,156,1.3285540889091185,belle
raison,0.0016987450419403082,209,0.0012918974476103465,181,1.314922515779033,raison
encore,0.0017556408088952467,216,0.0013561354422429053,190,1.2945910520497876,encore
aussi,0.0017962806424344886,221,0.0013918232170387712,195,1.2905954006545721,aussi
trouve,0.0014874179075362508,183,0.001156283903386056,162,1.2863777686262894,trouve
etre,0.003657585018531764,450,0.002855021983669274,400,1.2811057285909357,être
faut,0.005047467325573834,621,0.003968480557300291,556,1.2718891406154613,faut
voir,0.004340334221991027,534,0.0037043910238108834,519,1.1716728050825256,voir
veux,0.004096495220755576,504,0.0036258779192599785,508,1.1297940283636598,veux
jamais,0.002649717146758567,326,0.0023910809113230173,335,1.1081670779983948,jamais
foi,0.0015686975746147345,193,0.0014346485467938103,201,1.0934368407652875,foi
fils,0.0016581052084010664,204,0.0016416376406098328,230,1.0100311831209694,fils
coeur,0.005104363092528773,628,0.005089076685890481,713,1.003003768184644,coeur
pere,0.002942323948241108,362,0.003190487066750414,447,0.9222177951775665,père
enfin,0.001893816242928669,233,0.0020984411579969167,294,0.9024871799295178,enfin
contre,0.0016499772416932181,203,0.0018343516245075088,257,0.899487982374267,contre
frere,0.0014223941738734638,175,0.0015845372009364472,222,0.8976716816953504,frère
mal,0.0017637687756030952,217,0.001998515388568492,280,0.8825395019182003,mal
n'a,0.0014386501072891605,177,0.0017201507451607377,241,0.8363511810441516,n'a
deux,0.003364978217049223,414,0.004025580996973676,564,0.8358987732650078,deux
temps,0.0016093374081539763,198,0.00192713983897676,270,0.8350911416000174,temps
seigneur,0.0012191950061772546,150,0.001463198766630503,205,0.8332394982705272,Seigneur
yeux,0.0024140061122309643,297,0.0029763604179752186,417,0.8110597418417435,yeux
mieux,0.001804408609142337,222,0.002383943356363844,334,0.7569007897463412,mieux
quand,0.002267702711489694,279,0.003076286187403643,431,0.7371559644792391,quand
qu'a,0.0020888874439170296,257,0.002840746873750928,398,0.7353303679461094,qu'à
moins,0.0020888874439170296,257,0.0028621595386284474,401,0.7298291432482582,moins
pouvoir,0.0011704272059301646,144,0.001648775195569006,231,0.7098767673577479,pouvoir
leurs,0.001316730606671435,162,0.0018700393993033746,262,0.7041191790728807,leurs
ame,0.0021457832108719684,264,0.00306914863244447,430,0.6991460720372238,âme
qu'elle,0.0017800247090187919,219,0.0025552446753840004,358,0.6966161503697453,qu'elle
tant,0.0023164705117367838,285,0.0033974761605664364,476,0.6818209760007781,tant
grand,0.0017881526757266403,220,0.002683720664649118,376,0.666296123617035,grand
fais,0.001202939072761558,148,0.001805801404670816,253,0.6661524737161475,fais
esprit,0.0011054034722673776,136,0.0016701878604465255,234,0.6618437952074729,esprit
n'en,0.0015849535080304311,195,0.00241963113115971,339,0.6550393105873024,n'en
j'en,0.0018206645425580337,224,0.002805059098955062,393,0.6490645930548365,j'en
apres,0.0016987450419403082,209,0.00273368354936333,383,0.6214124682924411,après
qu'en,0.0011216594056830743,138,0.0018200765145891624,255,0.6162704681326331,qu'en
sous,0.000983483971649652,121,0.0016130874207731399,226,0.6096904352389507,sous
