seuil_pente,seuil_ordonnee_a_l_origine,left_index_caracteristique1,right_index_caracteristique1,left_index_caracteristique2,right_index_caracteristique2,total_points_caracteristique1,total_points_caracteristique2,erreur
0.8,2,0,12,88,99,13,12,0.046979866
0.85,1.5,0,12,88,99,13,12,0.046979866
0.85,2,0,12,88,99,13,12,0.046979866
0.9,1,0,12,88,99,13,12,0.046979866
0.95,0.5,0,12,88,99,13,12,0.046979866
0.6,0.5,0,12,77,99,13,23,0.046979866
0.6,1,0,12,77,99,13,23,0.046979866
0.65,0,0,12,77,99,13,23,0.046979866
0.6,0.5,0,12,76,99,13,24,0.046979866
0.6,1,0,12,76,99,13,24,0.046979866
0.65,0,0,12,76,99,13,24,0.046979866
0.6,0.5,0,12,75,99,13,25,0.046979866
0.6,1,0,12,75,99,13,25,0.046979866
0.65,0,0,12,75,99,13,25,0.046979866
0.6,1,0,12,74,99,13,26,0.046979866
0.65,0,0,12,73,99,13,27,0.046979866
0.65,0,0,12,71,99,13,29,0.046979866
0.65,0,0,12,70,99,13,30,0.046979866
0.6,7.5,0,13,90,99,14,10,0.046979866
0.6,7.5,0,13,89,99,14,11,0.046979866
0.65,5,0,13,89,99,14,11,0.046979866
0.65,6.5,0,13,89,99,14,11,0.046979866
0.7,5,0,13,89,99,14,11,0.046979866
0.75,4.5,0,13,89,99,14,11,0.046979866
0.6,5,0,13,88,99,14,12,0.046979866
0.6,5.5,0,13,88,99,14,12,0.046979866
0.6,6,0,13,88,99,14,12,0.046979866
0.6,6.5,0,13,88,99,14,12,0.046979866
0.65,4.5,0,13,88,99,14,12,0.046979866
0.65,6,0,13,88,99,14,12,0.046979866
0.7,4.5,0,13,88,99,14,12,0.046979866
0.7,5.5,0,13,88,99,14,12,0.046979866
0.75,3.5,0,13,88,99,14,12,0.046979866
0.8,2.5,0,13,88,99,14,12,0.046979866
0.8,3,0,13,88,99,14,12,0.046979866
0.8,3.5,0,13,88,99,14,12,0.046979866
0.85,2.5,0,13,88,99,14,12,0.046979866
0.9,1.5,0,13,88,99,14,12,0.046979866
0.6,0.5,0,13,77,99,14,23,0.046979866
0.65,0,0,13,77,99,14,23,0.046979866
0.6,0.5,0,13,76,99,14,24,0.046979866
0.65,0,0,13,76,99,14,24,0.046979866
0.6,0.5,0,13,75,99,14,25,0.046979866
0.65,0,0,13,75,99,14,25,0.046979866
0.6,0,0,13,74,99,14,26,0.046979866
0.6,1,0,13,74,99,14,26,0.046979866
0.65,0,0,13,73,99,14,27,0.046979866
0.6,0,0,13,72,99,14,28,0.046979866
0.6,0.5,0,13,72,99,14,28,0.046979866
0.6,0,0,13,71,99,14,29,0.046979866
0.6,0.5,0,13,71,99,14,29,0.046979866
0.65,0,0,13,71,99,14,29,0.046979866
0.6,1,0,13,70,99,14,30,0.046979866
0.6,5.5,0,14,89,99,15,11,0.046979866
0.6,6,0,14,89,99,15,11,0.046979866
0.6,7.5,0,14,89,99,15,11,0.046979866
0.65,6,0,14,89,99,15,11,0.046979866
0.65,6.5,0,14,89,99,15,11,0.046979866
0.7,4.5,0,14,89,99,15,11,0.046979866
0.7,5.5,0,14,89,99,15,11,0.046979866
0.75,3.5,0,14,89,99,15,11,0.046979866
0.8,3,0,14,89,99,15,11,0.046979866
0.8,3.5,0,14,89,99,15,11,0.046979866
0.85,2.5,0,14,89,99,15,11,0.046979866
0.9,1.5,0,14,89,99,15,11,0.046979866
